,SPY,AAPL,MSFT,AMZN,META,UNH,LLY,XOM,JPM,V,JNJ,PG,MA,MRK,COST,ADBE,PEP,KO
2017-08-02 00:00:00,222.4424285888672,36.919166564941406,66.89301300048828,49.794498443603516,169.3000030517578,176.0587921142578,72.84132385253906,59.345069885253906,77.76065063476562,97.11473846435547,111.8816146850586,77.39490509033203,126.1548843383789,49.97468566894531,148.7818603515625,147.1300048828125,96.52474975585938,37.39087677001953
2017-08-03 00:00:00,222.0109100341797,36.550315856933594,66.79119110107422,49.34600067138672,168.58999633789062,177.6734161376953,72.93926239013672,59.26409149169922,77.251220703125,96.45313262939453,112.88903045654297,77.24188995361328,125.45946502685547,50.03770446777344,145.6730194091797,147.7899932861328,97.10086059570312,37.45648956298828
2017-08-04 00:00:00,222.41546630859375,36.74296569824219,67.28181457519531,49.37900161743164,169.6199951171875,177.77374267578125,73.27754211425781,59.05791091918945,78.21998596191406,96.74076843261719,112.74512481689453,77.08038330078125,125.39188385009766,49.70684814453125,144.31690979003906,147.7100067138672,97.15930938720703,37.31705856323242
2017-08-07 00:00:00,222.82899475097656,37.311519622802734,67.02259826660156,49.61349868774414,171.97999572753906,177.68252563476562,73.06389617919922,59.021114349365234,78.52064514160156,97.31610107421875,112.47420501708984,77.73494720458984,125.9327621459961,49.50203323364258,144.78741455078125,148.44000244140625,97.65191650390625,37.43187713623047
2017-08-08 00:00:00,222.28057861328125,37.60991287231445,67.38365173339844,49.492000579833984,171.22999572753906,177.7919464111328,72.97488403320312,58.87384033203125,78.2366943359375,97.11473846435547,111.9747314453125,77.85396575927734,125.41117858886719,49.0924186706543,145.5254364013672,147.80999755859375,97.44317626953125,37.399078369140625
2017-08-09 00:00:00,222.2716064453125,37.840152740478516,67.0874252319336,49.10049819946289,171.17999267578125,177.7281494140625,73.509033203125,59.05791091918945,78.11141967773438,96.8174819946289,112.78742218017578,78.14299774169922,125.29524230957031,49.22632598876953,144.70436096191406,148.35000610351562,97.37637329101562,37.39087677001953
2017-08-10 00:00:00,219.13417053222656,36.6348762512207,66.10614013671875,47.84600067138672,167.39999389648438,175.66653442382812,73.04608154296875,58.708499908447266,76.99232482910156,95.39836883544922,112.66890716552734,77.989990234375,123.31520080566406,48.982120513916016,144.50146484375,144.9199981689453,97.16764068603516,37.5139045715332
2017-08-11 00:00:00,219.4578094482422,37.144344329833984,67.11517333984375,48.39950180053711,168.0800018310547,176.07704162597656,72.70564270019531,58.14349365234375,76.3492660522461,95.97367095947266,112.67739868164062,77.64994812011719,124.1651840209961,49.139678955078125,144.51063537597656,146.47000122070312,97.27618408203125,37.39087677001953
2017-08-14 00:00:00,221.63336181640625,37.70336151123047,68.12419891357422,49.165000915527344,170.75,176.70645141601562,73.01023864746094,58.15837097167969,77.24287414550781,97.68048095703125,112.99907684326172,77.91348266601562,126.61853790283203,49.36811065673828,145.6730194091797,149.16000366210938,98.38663482666016,37.563106536865234
2017-08-15 00:00:00,221.60638427734375,38.11612319946289,68.14283752441406,49.137001037597656,171.0,177.42710876464844,73.20735931396484,58.017120361328125,77.44331359863281,98.4092025756836,112.91442108154297,78.38105010986328,127.09183502197266,49.23420333862305,144.7228546142578,150.36000061035156,99.33009338378906,37.882972717285156
2017-08-16 00:00:00,221.99293518066406,37.96281433105469,68.54303741455078,48.909000396728516,170.0,176.76119995117188,72.29351043701172,57.59335708618164,76.90880584716797,99.23037719726562,113.58320617675781,78.5850830078125,127.85487365722656,49.391746520996094,147.85084533691406,151.8000030517578,99.43861389160156,37.89116668701172
2017-08-17 00:00:00,218.53187561035156,37.23398208618164,67.37969970703125,48.028499603271484,166.91000366210938,175.78509521484375,69.7042236328125,56.69381332397461,75.70619201660156,98.11627960205078,112.62657165527344,78.27053833007812,126.41569519042969,48.71427917480469,146.7495574951172,148.22999572753906,98.84583282470703,37.61231994628906
2017-08-18 00:00:00,218.19027709960938,37.14906692504883,67.46346282958984,47.923500061035156,167.41000366210938,174.07008361816406,69.05016326904297,56.976314544677734,75.78136444091797,98.45245361328125,112.2795181274414,78.61058044433594,126.66683959960938,48.43857955932617,145.37062072753906,147.97000122070312,98.18624114990234,37.45648956298828
2017-08-21 00:00:00,218.36106872558594,37.080665588378906,67.14704895019531,47.66450119018555,167.77999877929688,175.17393493652344,69.32794189453125,56.78303527832031,75.68949890136719,99.13433074951172,112.97366333007812,78.94212341308594,127.4395523071289,48.81669616699219,145.3614044189453,149.25999450683594,98.7373046875,37.464691162109375
2017-08-22 00:00:00,220.6444854736328,37.68684005737305,68.08697509765625,48.345001220703125,169.63999938964844,177.69163513183594,70.11636352539062,57.05065155029297,76.46617126464844,99.95068359375,114.03187561035156,78.88260650634766,129.23611450195312,49.171180725097656,146.86990356445312,152.25,98.45342254638672,37.399078369140625
2017-08-23 00:00:00,219.85336303710938,37.7340087890625,67.6775131225586,47.900001525878906,168.7100067138672,177.18994140625,70.01781463623047,56.95402145385742,76.55804443359375,99.0959243774414,112.42342376708984,78.5850830078125,128.5310516357422,48.958499908447266,147.48989868164062,151.10000610351562,97.92742156982422,37.34986877441406
2017-08-24 00:00:00,219.34097290039062,37.566551208496094,67.64961242675781,47.622501373291016,167.74000549316406,177.65513610839844,70.6539306640625,56.74586868286133,76.4327621459961,99.13433074951172,112.4996109008789,78.4405517578125,128.4247589111328,49.399635314941406,140.04928588867188,150.80999755859375,97.0340805053711,37.243247985839844
2017-08-25 00:00:00,219.85336303710938,37.705718994140625,67.77056884765625,47.26300048828125,166.32000732421875,177.2993927001953,70.5912094116211,57.03578567504883,76.74175262451172,99.2591781616211,112.18435668945312,78.64459228515625,128.221923828125,49.58081817626953,141.0858154296875,151.4499969482422,96.72514343261719,37.37448501586914
2017-08-28 00:00:00,219.8623504638672,38.085453033447266,67.77989196777344,47.30099868774414,167.24000549316406,177.9652557373047,70.63602447509766,56.849937438964844,76.49957275390625,99.67215728759766,112.23551940917969,78.61058044433594,129.28440856933594,49.880149841308594,141.17835998535156,151.7899932861328,96.46632385253906,37.2514533996582
2017-08-29 00:00:00,220.11407470703125,38.42510986328125,67.984619140625,47.702999114990234,168.0500030517578,179.46131896972656,70.37619018554688,56.835079193115234,76.0820083618164,99.66255950927734,112.63590240478516,78.48307037353516,129.27474975585938,49.72260284423828,142.11305236816406,152.13999938964844,96.71678924560547,37.27606201171875
2017-08-30 00:00:00,221.1568603515625,38.528892517089844,68.8780517578125,48.37950134277344,169.9199981689453,178.6859893798828,72.11431884765625,56.57487869262695,76.25739288330078,99.62415313720703,111.66471862792969,78.10050201416016,129.23611450195312,49.72260284423828,142.92745971679688,153.6699981689453,96.8134765625,37.22684097290039
2017-08-31 00:00:00,222.4873809814453,38.68220520019531,69.58534240722656,49.029998779296875,171.97000122070312,181.44088745117188,72.83106231689453,56.74586868286133,75.90663146972656,99.42244720458984,112.77223205566406,78.4405517578125,128.75315856933594,50.305538177490234,145.0560302734375,155.16000366210938,97.30111694335938,37.358062744140625
2017-09-01 00:00:00,222.80198669433594,38.694000244140625,68.81290435791016,48.912498474121094,172.02000427246094,182.21624755859375,71.7469711303711,56.92427444458008,76.58311462402344,99.78742218017578,111.63060760498047,78.66159057617188,128.69520568847656,50.28189468383789,146.44419860839844,155.05999755859375,97.39360809326172,37.54671096801758
2017-09-05 00:00:00,221.2018280029297,38.229331970214844,68.50579071044922,48.26350021362305,170.72000122070312,181.81484985351562,71.5140151977539,57.377777099609375,74.75413513183594,98.93264770507812,110.66790771484375,78.8231201171875,128.135009765625,50.11648178100586,147.27711486816406,154.27999877929688,97.4188232421875,37.661529541015625
2017-09-06 00:00:00,221.95693969726562,38.18923568725586,68.31035614013672,48.38999938964844,172.08999633789062,180.96652221679688,72.13223266601562,58.5672492980957,75.2552261352539,99.0959243774414,111.32392883300781,78.8231201171875,128.35711669921875,50.41581344604492,147.0179443359375,153.75999450683594,97.8223876953125,37.6943359375
2017-09-07 00:00:00,221.92996215820312,38.03592300415039,69.18518829345703,48.9734992980957,173.2100067138672,181.4609832763672,73.0550308227539,58.75309753417969,73.93567657470703,100.42131805419922,112.6188735961914,79.03565216064453,131.87301635742188,50.66789627075195,147.40667724609375,155.47000122070312,98.3604736328125,37.956787109375
2017-09-08 00:00:00,221.66929626464844,37.41559600830078,68.85013580322266,48.29499816894531,170.9499969482422,181.07640075683594,74.29143524169922,58.59698486328125,73.84381103515625,100.29643249511719,111.58804321289062,78.92514038085938,132.53944396972656,50.62850570678711,145.58352661132812,155.33999633789062,96.72100830078125,37.97319030761719
2017-09-11 00:00:00,224.03363037109375,38.09253692626953,69.5760498046875,48.89799880981445,173.50999450683594,182.75209045410156,74.0316162109375,58.916664123535156,74.98797607421875,101.94837188720703,113.48787689208984,79.90277099609375,137.14675903320312,51.305973052978516,145.62977600097656,156.8699951171875,97.26749420166016,38.15361022949219
2017-09-12 00:00:00,224.78872680664062,37.94157028198242,69.50160217285156,49.12900161743164,172.9600067138672,180.82000732421875,73.61949157714844,59.102516174316406,75.90663146972656,102.00596618652344,112.9937515258789,79.4947280883789,137.56210327148438,51.565940856933594,148.11000061035156,156.30999755859375,96.68739318847656,38.31764602661133
2017-09-13 00:00:00,224.89659118652344,37.65617752075195,69.99482727050781,49.97999954223633,173.0500030517578,181.6074981689453,73.8524398803711,59.303245544433594,76.12376403808594,101.64102935791016,112.84040069580078,79.52872467041016,135.32119750976562,51.55806350708008,150.84011840820312,156.24000549316406,96.22494506835938,38.440677642822266
2017-09-14 00:00:00,224.82472229003906,37.333045959472656,69.58534240722656,49.61050033569336,170.9600067138672,181.05809020996094,74.42584991455078,59.5411491394043,75.97343444824219,101.88114166259766,114.31426239013672,79.52872467041016,136.6444549560547,52.46258544921875,150.266357421875,154.9499969482422,96.00636291503906,38.118263244628906
2017-09-15 00:00:00,225.1273193359375,37.710426330566406,70.08790588378906,49.339500427246094,171.63999938964844,181.4701385498047,73.86140441894531,59.52628707885742,76.51627349853516,101.13200378417969,114.54427337646484,79.29068756103516,136.750732421875,52.494327545166016,150.20156860351562,154.49000549316406,96.56124877929688,38.17613983154297
2017-09-18 00:00:00,225.60618591308594,37.42503356933594,69.94833374023438,48.70949935913086,170.00999450683594,181.47930908203125,73.93307495117188,59.5411491394043,77.60198974609375,100.68061065673828,115.33658599853516,79.18865203857422,136.5768585205078,52.35943603515625,148.91513061523438,155.77000427246094,96.67896270751953,38.118263244628906
2017-09-19 00:00:00,225.83206176757812,37.439178466796875,70.20890045166016,48.49300003051758,172.52000427246094,178.23780822753906,73.22528076171875,59.637794494628906,78.45384216308594,101.2376708984375,115.20028686523438,80.05579376220703,137.6296844482422,52.32769775390625,149.51670837402344,156.60000610351562,96.25859069824219,38.01079559326172
2017-09-20 00:00:00,225.91336059570312,36.8117790222168,69.74359130859375,48.660499572753906,172.1699981689453,179.24505615234375,73.48509216308594,59.88312911987305,79.00502014160156,100.81507110595703,113.49637603759766,80.25131225585938,137.38819885253906,52.20075225830078,150.71055603027344,149.9600067138672,95.4935073852539,37.84546661376953
2017-09-21 00:00:00,225.3080291748047,36.17964553833008,69.0641860961914,48.23249816894531,171.11000061035156,178.75057983398438,74.65878295898438,59.39244842529297,79.36414337158203,101.14161682128906,112.24401092529297,78.75511169433594,136.88597106933594,52.04999542236328,149.44268798828125,149.3000030517578,94.8376693725586,37.53133773803711
2017-09-22 00:00:00,225.35317993164062,35.82585525512695,69.25032043457031,47.755001068115234,170.5399932861328,176.75436401367188,75.17842864990234,59.414756774902344,79.19711303710938,101.38172149658203,111.93732452392578,78.41505432128906,137.0501708984375,51.67707824707031,149.266845703125,148.5,94.03897094726562,37.6057243347168
2017-09-25 00:00:00,224.8925018310547,35.509788513183594,68.1800765991211,46.989498138427734,162.8699951171875,175.58229064941406,75.83246612548828,60.20279312133789,78.60417175292969,98.94224548339844,111.74989318847656,78.8231201171875,133.84341430664062,51.71675109863281,150.22926330566406,144.57000732421875,94.11463165283203,37.771060943603516
2017-09-26 00:00:00,225.0279998779297,36.120689392089844,68.1800765991211,46.93000030517578,164.2100067138672,176.45220947265625,75.4561767578125,60.13589096069336,78.25338745117188,98.86541748046875,111.553955078125,78.76361846923828,133.65016174316406,51.38349533081055,151.83956909179688,145.39999389648438,94.0053482055664,37.671871185302734
2017-09-27 00:00:00,225.90431213378906,36.377784729003906,68.72915649414062,47.54349899291992,167.67999267578125,178.09124755859375,75.8414306640625,60.53732681274414,79.48941040039062,99.77780151367188,110.5401382446289,77.2503890991211,134.90585327148438,51.23273849487305,152.1635284423828,146.42999267578125,93.4084243774414,36.903045654296875
2017-09-28 00:00:00,226.1753387451172,36.153709411621094,68.7477798461914,47.81999969482422,168.72999572753906,179.5654754638672,76.15502166748047,61.10234451293945,79.65644073486328,100.44050598144531,110.30158233642578,77.26739501953125,135.4178009033203,51.01057434082031,151.68222045898438,146.8300018310547,93.86241912841797,37.12624740600586
2017-09-29 00:00:00,226.97036743164062,36.351837158203125,69.32478332519531,48.067501068115234,170.8699951171875,179.3366241455078,76.63880920410156,60.94622802734375,79.7650146484375,101.07438659667969,110.76165008544922,77.34390258789062,136.3837127685547,50.804283142089844,152.04319763183594,149.17999267578125,93.68585968017578,37.20891571044922
2017-10-02 00:00:00,227.95513916015625,36.278717041015625,69.43647003173828,47.95949935913086,169.47000122070312,180.7925262451172,77.36453247070312,60.68602752685547,80.8757553100586,101.26646423339844,111.7925033569336,78.01551055908203,136.9825439453125,51.21687316894531,153.52392578125,147.94000244140625,91.74371337890625,37.035308837890625
2017-10-03 00:00:00,228.4429473876953,36.436744689941406,69.11073303222656,47.85499954223633,169.9600067138672,181.88221740722656,77.45413970947266,60.782676696777344,81.30167388916016,101.41053009033203,112.54220581054688,78.31304931640625,138.14158630371094,51.074066162109375,152.77426147460938,148.60000610351562,91.75211334228516,37.35771179199219
2017-10-04 00:00:00,228.71400451660156,36.20088577270508,69.51091766357422,48.272499084472656,168.4199981689453,183.57620239257812,77.91104125976562,60.80497741699219,80.47489166259766,101.14161682128906,113.21524047851562,78.5680923461914,137.24331665039062,51.25654983520508,152.89459228515625,147.9499969482422,91.92865753173828,37.613990783691406
2017-10-05 00:00:00,230.06910705566406,36.65139389038086,70.7021484375,49.04249954223633,171.24000549316406,181.2137451171875,78.52925109863281,60.975948333740234,81.55852508544922,102.0347900390625,113.47081756591797,78.23651885986328,139.06199645996094,51.25654983520508,154.61595153808594,150.25,92.86190032958984,37.63052749633789
2017-10-06 00:00:00,229.80715942382812,36.63015365600586,70.73005676269531,49.479000091552734,172.22999572753906,181.36026000976562,78.01856994628906,60.74549865722656,81.41573333740234,102.50540924072266,113.49637603759766,78.49156188964844,138.83949279785156,51.21687316894531,145.37991333007812,151.1199951171875,92.81988525390625,37.6057243347168
2017-10-09 00:00:00,229.42770385742188,36.757530212402344,70.99996185302734,49.54949951171875,172.5,179.74862670898438,77.99169158935547,60.98340606689453,80.9873046875,102.77433013916016,113.69231414794922,78.31304931640625,139.83596801757812,51.042320251464844,143.0847930908203,151.5,92.49200439453125,37.539588928222656
2017-10-10 00:00:00,230.0330352783203,36.771663665771484,70.99996185302734,49.36000061035156,171.58999633789062,178.26524353027344,77.19429016113281,61.15437698364258,81.59213256835938,103.06244659423828,114.07572174072266,77.88797760009766,140.90000915527344,51.14546203613281,145.17628479003906,152.14999389648438,93.13934326171875,37.919864654541016
2017-10-11 00:00:00,230.39439392089844,36.924991607666016,71.1209487915039,49.75,172.74000549316406,178.79635620117188,77.10469055175781,61.40714645385742,81.34852600097656,104.14772033691406,116.41857147216797,77.75196838378906,142.06094360351562,50.605918884277344,146.1017608642578,153.64999389648438,93.75311279296875,38.11000442504883
2017-10-12 00:00:00,230.05105590820312,36.79526138305664,71.77240753173828,50.04650115966797,172.5500030517578,176.65367126464844,77.43620300292969,61.28078079223633,80.63447570800781,103.8307876586914,116.57192993164062,78.33854675292969,141.95449829101562,50.64559555053711,145.5001983642578,153.61000061035156,94.5434341430664,38.118263244628906
2017-10-13 00:00:00,230.33116149902344,37.028770446777344,72.11674499511719,50.14699935913086,173.74000549316406,176.28736877441406,77.5437240600586,61.265907287597656,80.5252914428711,104.35901641845703,116.23114013671875,79.09515380859375,142.53494262695312,50.296485900878906,147.93417358398438,153.92999267578125,94.68635559082031,38.17613983154297
2017-10-16 00:00:00,230.63832092285156,37.710426330566406,72.26565551757812,50.31700134277344,174.52000427246094,176.91006469726562,77.00615692138672,61.563262939453125,82.18854522705078,104.01325988769531,115.96701049804688,79.18016052246094,141.4514617919922,50.256797790527344,146.97169494628906,150.4600067138672,95.48509216308594,38.53987503051758
2017-10-17 00:00:00,230.8009490966797,37.849586486816406,72.2098388671875,50.45650100708008,176.11000061035156,186.6986846923828,77.10469055175781,61.67478561401367,82.00376892089844,103.2833480834961,119.94561767578125,78.89112091064453,141.17092895507812,50.16159439086914,146.57376098632812,150.3800048828125,94.32483673095703,38.45719909667969
2017-10-18 00:00:00,231.0268096923828,37.682132720947266,72.22843170166016,49.849998474121094,176.02999877929688,187.9257049560547,76.8090591430664,61.52611541748047,82.31452941894531,103.53307342529297,119.85191345214844,78.86561584472656,141.42247009277344,50.39168930053711,145.80564880371094,153.0,94.12307739257812,38.35800552368164
2017-10-19 00:00:00,231.08999633789062,36.790550231933594,72.50762176513672,49.330501556396484,174.55999755859375,186.11265563964844,77.37350463867188,61.51122283935547,82.41535949707031,102.78390502929688,121.01055145263672,78.4459457397461,140.2519073486328,50.58211898803711,146.6477813720703,171.72999572753906,94.72840118408203,38.51507568359375
2017-10-20 00:00:00,232.28257751464844,36.85423278808594,73.34520721435547,49.14550018310547,174.97999572753906,189.99517822265625,78.15296173095703,61.786293029785156,83.59140014648438,103.29295349121094,121.3172836303711,75.58525848388672,140.63885498046875,50.68526840209961,148.78558349609375,175.63999938964844,93.83719635009766,38.34147644042969
2017-10-23 00:00:00,231.379150390625,36.83537292480469,73.36384582519531,48.314998626708984,171.27000427246094,189.55557250976562,78.10816192626953,61.8829460144043,83.44860076904297,103.27373504638672,122.35662841796875,74.7716064453125,140.81298828125,50.304412841796875,149.96090698242188,172.16000366210938,93.90446472167969,38.29187774658203
